Черкаська громада – сьома в рейтингу фінансової спроможності,"Черкаська громада посіла сьоме місце в рейтингу фінансової спроможності територіальних громад обласних центрів.Такі результати оприлюднив Центр спільних дій.У дослідженні проаналізували, чи вистачає органам місцевого самоврядування грошей для виконання своїх повноважень.У відповідному рейтингу за 2021 рік Черкаська громада посіла сьоме з дванадцяти місць, як і Чернігівська. В обох – 55 балів зі ста за відповідними критеріями. Очолює перелік фінансово спроможних уже третій рік поспіль громада Дніпра.Автори дослідження зазначають, що при формуванні рейтингу зважали на те, чи достатньо коштів у громади, наскільки чітка структура надходжень та ефективність розподілу грошей за пріоритетними цілями.Читайте також: У селах підприємцям дозволили не використовувати касові апарати.","#Черкаси,#фінанси,#гроші,#фінансування,#рейтинг,#черкаська громада,#територіальна громада,#органи місцевого самоврядування,",https://www.vikka.ua/novini/groshi/cherkaska-gromada-soma-v-rejtignu-finansovoyi-spromozhnosti/
У Черкасах засяяла ще одна новорічна ялинка (ФОТО),"Учора, 25 грудня, в Південно-Західному районі Черкас засвітили новорічну ялинку. Про це повідомив міський депутат Араік Мкртчян.Ялинку встановили на площі перед Палацом Молоді.Фото зі сторінки Анастасії ЧубіноїДля дітей працювала святкова резиденція, де можна було отримати солодкі презенти. Загалом вручили понад 850 подарунків.Фото зі сторінки Араіка МкртчянаУ межах дійства біля Палацу молоді відбулася святково-розважальна програма, діяла ярмарка майстрів. Крім того, для черкасців у новорічній лотереї розіграли 200 новорічних подарунків.Фото зі сторінки Араіка МкртчянаФото зі сторінки Араіка МкртчянаФото зі сторінки Араіка МкртчянаФото зі сторінки Анастасії ЧубіноїЧитайте також, як у Черкасах святкуватимуть новорічну ніч (ПРОГРАМА).","#Черкаси,#свято,#Різдво,#святкування,#новорічна ялинка,#лотерея,#Південно-Західний район,#ПЗР,#ялинка,#святкова програма,",https://www.vikka.ua/novini/rozvagy/u-cherkasax-zasyayala-druga-novorichna-yalinka-foto/
Остання гра 2021 року: «Черкаські Мавпи» поступилися киянам,"«Черкаські Мавпи» 24 грудня вдома відіграли заключний матч 2021 року. Про це інформують на сайті БК.Гра з «Київ-Баскетом» завершилася на користь гостей – 68:85.Цією грою завершили рік обидві команди: «Мавпи» в разі успіху могли вийти на 10 сходинку турнірної таблиці, а ось «Київ-Баскет» міг повернутися в топ-3.Перша половина гри виявилась «рівною» – жодна команда не могла відірватись більше, ніж на 5 очок, а обидві чверті завершилися з рахунком 16:16. У команд була не надто гарна результативність (40% у гостей і 33% у господарів), рівність за підбираннями (по 22), а у киян – 7 втрат (проти 5 – у господарів), хоча за перші 20 хвилин столична команда зробила одразу 7 блок-шотів.Вирішальною в матчі стала третя чверть, у якій «Київ-Баскет» виконав ривок 17:2, в результаті чого на останню перерву команди пішли з рахунком 44:57. В останній 10-хвилинці «Черкаські Мавпи» знову вирівняли ситуацію на майданчику, але повернути інтригу до матчу не вдалось.«Київ-Баскет» втримав свою перевагу до кінця гри і здобув перемогу. Найрезультативнішим у «Мавп» був Генрі Дугат, який набрав 16 очок і зробив 6 підбирань.Наступний матч «Черкаські Мавпи» проведуть уже 2022 року. 14 січня команда поїде в гості до «Харківських Соколів». Вдома «Мавпи» грають 21 січня проти «Тернополя».Читайте також: Черкаська команда перемогла в турнірі з пожежно-прикладного спорту (ФОТО).","#Черкаси,#Баскетбол,#Черкаські Мавпи,#спорт,#матч,#палац спорту,#баскетболісти,#гра,#БК,",https://www.vikka.ua/novini/sport/ostannya-gra-2021-roku-cherkaski-mavpi-postupilisya-kiyanam/
Черкаська команда перемогла в турнірі з пожежно-прикладного спорту (ФОТО),"Спортсмени з Черкаського інституту пожежної безпеки стали переможцями Всеукраїнського турніру «Різдвяні старти 2021». Про це інформують на сайті навчального закладу.Це турнір з пожежно-прикладного спорту, що відбувся 23 грудня у Києві. За результатами змагань команда спортсменів із ЧІПБ виборола перше загальнокомандне місце.Крім того, викладач кафедри спеціальної та фізичної підготовки ЧІПБ, Заслужений майстер спорту України з ППС Арсен Іпієв став абсолютним чемпіоном, узявши всі перші місця в усіх дисциплінах серед чоловіків.Також курсантка І курсу Лілія Апончук стала чемпіонкою серед жінок у подоланні 100-метрової смуги з перешкодами та посіла ІІІ місце у двоборстві та підійманні по штурмовій драбині у вікно другого поверху.Як повідомляв сайт vikka.ua, 63 черкаські спортсмени отримуватимуть стипендії від міської влади.","#спорт,#змагання,#студенти,#турнір,#курсанти,#рятувальники,#спортсмени,#ЧІПБ,",https://www.vikka.ua/novini/sport/cherkaski-sportsmeni-stali-chempionami-turniru-z-pozhezhno-prikladnogo-sportu-foto/
Аварія на Звенигородщині: нетверезий водій з’їхав у кювет і перекинувся,"Звенигородські поліцейські склали два протоколи на нетверезого водія, який з’їхав у кювет. Про це інформує пресслужба ГУНП в Черкаській області.Аварія сталася 25 грудня близько 16:00 у селі Лозоватка Звенигородського району. Водій Volkswagen Caddy не впорався з керуванням і з’їхав у кювет. Автівка перекинулась, та сам керманич не постраждав. Як з’ясувалося, 59-річний чоловік був нетверезий.Лікарі “швидкої” оглянули водія на місці, від госпіталізації він відмовився.На порушника правоохоронці склали протокол за ч. 1 ст. 130 (Керування транспортним засобом  в стані алкогольного сп’яніння) та ст. 124 (Порушення правил дорожнього руху, що спричинило пошкодження транспортних засобів) КУпАП.Читайте також: У Звенигородці виявили чотирьох вірмен-нелегалів.",,https://www.vikka.ua/novini/cherkashchina/avariya-na-zvenigorodshhini-netverezij-vodij-zyixav-u-kyuvet-i-perekinuvsya/
У Черкасах водолази витягли з Дніпра потопельника,"Два дні тому в Черкасах зник чоловік, а сьогодні, 26 грудня, його знайшли мертвим. Про це інформує пресслужба ГУ ДСНС у Черкаській області.Повідомили, що чоловік зник неподалік відпочинкового комплексу  “Селена”.Водолази знайшли тіло загиблого на відстані близько 3 метрів від берега.Читайте також: У ДТП неподалік Черкас загинув чоловік.","#Черкаси,#рятувальники,#смерть,#дснс,#загибель,#потопельник,#SELENA,#втонув,",https://www.vikka.ua/novini/cherkasy/na-dnipri-v-cherkasax-potonuv-cholovik/
У ДТП неподалік Черкас загинув чоловік,"У селі Худяки Черкаського району сталася ДТП, у якій загинув чоловік. Про це інформує пресслужба ГУНП в Черкаській області.Аварія сталася 25 грудня, близько 16:30. Нетверезий чоловік упав на дорогу головою під заднє ліве колесо вантажівки. Від отриманих травм потерпілий помер на місці автопригоди.За кермом вантажного авто ГАЗ-53А був 40-річний водій. Автомобіль направили на спецмайданчик.Слідчі відкрили кримінальне провадження за ч. 2 ст. 286 (Порушення правил безпеки дорожнього руху або експлуатації транспорту особами, які керують транспортними засобами) Кримінального кодексу України.Санкція статті передбачає покарання у вигляді позбавлення волі на строк від 3 до 8 років з позбавленням права керувати транспортними засобами на строк до 3 років або без такого.Слідство триває.Читайте також: У Смілі п’ятеро чоловіків забили до смерті людину.","#ДТП,#поліція,#смерть,#загибель,#нетверезий чоловік,#аварія,#Черкаський район,#Худяки,",https://www.vikka.ua/novini/cherkashchina/u-dtp-nepodalik-cherkas-zaginuv-cholovik/
"26 грудня: історичний дайджест, іменинники і прикмети","26 грудня відзначають:День подарунківДень подяки запискоюДень підтримки тих, хто засмученийДень батька в БолгаріїДень сім’ї в НамібіїДень мумій в АнгліїДень доброї волі в Південній АфриціДень карамельної тростини в США.Церква вшановує пам’ять святих мучеників Євстратія, Авксентія, Евгeнія, Мардария і Ореста; мучениці Лукії Сіракузької.Цей день в історії1776 – війська Джорджа Вашингтона завдали англійцям поразки під Трентоном. Ця битва стала переломною в боротьбі північноамериканських колоній за незалежність.1783 – Француз Себастьян Ленорман уперше в Європі продемонстрував псевдопарашут.1805 – у Пресбурзі (нині Братислава) Франція й Австрія підписали мирний договір, що завершив війну третьої антифранцузької коаліції.1825 – повстання декабристів на Сенатській площі в Санкт-Петербурзі. Спроба державного перевороту була підготовлена групою дворян-однодумців (за підтримки військових частин) і мала на меті лібералізацію суспільно-політичного ладу в країні.1870 – Завершилось будівництво 13-кілометрового тунелю Фрежюс – першого залізничного тунелю під Альпами, який з’єднав Італію та Францію.1898 – Марія і П’єр Кюрі вперше одержали радій. Повідомлення про це вони зроблять за кілька днів.1908 – Перемігши нокаутом канадця Томмі Бернса в 14 раунді бою, який відбувся в австралійському місті Сідней, Джек Джонсон став першим афроамериканцем, який здобув титул чемпіона світу з боксу в надважкій категорії.1918 – проголошено відновлення УНР і сформовано уряд держави – Раду Народних Міністрів УНР.1919 – Раднарком прийняв декрет про ліквідацію неписьменності в Росії.1919 – уряд УНР відкликав українську місію з Паризької мирної конференції.1925 – засновано Комуністичну партію Індії.1925 – Туреччина перейшла на григоріанський календар.1926 – після смерті імператора Японії Йосіхіто на трон зійшов його 25-річний син Хірохіто, який доти був принцом-регентом при недоумкуватому батькові. Хірохіто правив більше 62 років.1931 – у Токіо засновано автомобільну компанію «Dat Jidosha Seizo», перейменовану наступного року в «Nissan». Першою продукцією компанії були автомобілі і вантажівки, що випускались під торговою маркою «Datsun».1935 – на Гавайських островах зроблена спроба зупинити виверження вулкану авіабомбардуванням.1939 – землетрус у горах Внутрішній Тавр (Туреччина). Загинуло 30-40 тисяч осіб.1946 – у Лас-Вегасі відкрився готель «Фламінго», побудований знаменитим гангстером Багсі Сігелом. З цього дня почалося перетворення Лас-Вегаса на світову столицю грального бізнесу.Готель «Фламінго»1948 – льотчик-випробувач Олег Соколовський на експериментальному реактивному винищувачі Ла-176 вперше в СРСР досяг швидкості звуку.1956 – СРСР звільнив японських військовополонених.1959 – радянська антарктична експедиція прибула на Південний географічний полюс.1963 – Фірма грамзапису «Capitol Records» випустила перший у США сингл групи «The Beatles» «I Want to Hold Your Hand/I Saw Her Standing There», який 1 лютого наступного року вийшов на перше місце в американському хіт-параді.1974 – запущена радянська космічна станція «Салют-4».1974 – в СРСР оголошено про видачу паспортів селянам.1980 – «Аерофлот» прийняв у використання літаки Іл-86.1982 – у традиційній номінації журналу «Тайм» людиною року названо комп’ютер.1989 – у Румунії Фронт національного порятунку сформував тимчасовий уряд. Уряд повідомив про зміни в конституції, що впровадили в країні вільну економіку, гарантували права національних меншин і дозволили вільне працевлаштування. Також антикомуністична влада пообіцяла проведення вільних виборів.1990 – у Словенії оголошено результати референдуму, що відбувся 23 грудня.На питання «Чи бути Словенії суверенною і незалежною державою?» ствердно відповіли близько 95% громадян, що взяли участь у референдумі.1991 – Рада республік Верховної Ради СРСР провела своє останнє засідання, яке констатувало факт припинення існування Радянського Союзу. СРСР офіційно припинив своє існування відповідно до угоди про створення Співдружності Незалежних Держав, підписаної 8 грудня лідерами Росії, України й Білорусі.1991 – у Києві почався перший з’їзд суддів України.1991 – парламент Азербайджану замінив в азербайджанській мові кирилицю латинським шрифтом.2004 – найбільш смертоносний землетрус у сучасній історії стався в Індійському океані, на північ від острова Сімеулуе. Цунамі, що виникло в результаті 9-бального землетрусу, забрало в Південній та Південно-Східній Азії майже 300 тисяч життів. Найбільше постраждали Шрі-Ланка, Індія, Індонезія, Таїланд, Малайзія і Мальдіви.2004 – в Україні відбулося переголосування другого туру виборів президента. Перемогу здобув Віктор Ющенко – 51,99% голосів; Віктор Янукович отримав 44,20%. Цього дня народилися1194 – Фрідріх II, імператор Священної Римської імперії з 1220.1664 – Йоганн Мельхіор Дінлінгер, німецький ювелір епохи бароко.1666 – Франческо Кабіянка, венеційський скульптор доби пізнього бароко.1698 – Філіппо Делла Валле, італійський скульптор.1716 – Томас Грей, англійський поет.1791 – Чарльз Беббідж, британський математик, винахідник першої обчислювальної машини.1883 – Моріс Утрілло, французький художник, поет.1891 – Генрі Міллер, американський письменник.1898 – Євген Плужник, український поет, драматург, перекладач, один з найвизначніших представників Розстріляного Відродження.1917 – Юрій Асєєв, київський архітектор, реставратор, мистецтвознавець, педагог, Заслужений архітектор України, почесний член Академії архітектури України, дійсний член ICOMOS.1922 – Михайло Васильович Пилипенко, Герой Радянського Союзу, один із визволителів м. Черкаси від нацистської окупації.1927 – Галина Макарівна Гнатюк, мовознавиця, історик української мови, уродженка с. Гусакове Звенигородського району.1937 – Алла Бабенко, українська акторка, режисер Національного академічного драмтеатру ім. М. Заньковецької у Львові, народна артистка України.1953 – Тоомас Гендрік Ільвес, президент Естонії.1959 – Кодзі Морімото, японський аніматор, один із перших режисерів аніме в Японії.1962 – Джеймс Коттак, американський барабанщик, музикант гурту «Scorpions».1975 – Марсело Ріос, чилійський тенісист, який був першою ракеткою світу навесні 1998 року. Єдиний спортсмен, який домігся цього титулу, не вигравши жодного з турнірів серії «Великого шолома». Померли1530 – Захіреддін Мухамед Бабур, нащадок Тамерлана, завойовник Індії, засновник імперії Великих Моголів.1624 – Симон Марій, німецький астроном, який незалежно від Галілео Галілея відкрив чотири супутники Юпітера і дав їм імена.1731 – Антуан Гудар де Ламотт, французький поет, драматург, лібретист, критик.1771 – Гельвецій, французький літератор і філософ-матеріаліст.1786 – Гаспаро Ґоцці, італійський поет і літературний критик. Один з перших італійських журналістів. Старший брат драматурга Карло Ґоцці.1889 – Левко Боровиковський, український поет, фольклорист, етнограф.1890 – Генріх Шліман, німецький підприємець і археолог, керівник розкопок у Трої, Мікенах, Коринфі.1924 – Олександр Тарковський, український поет, письменник, журналіст, громадський діяч. Батько Арсенія Тарковського, дід Андрія Тарковського, брат Надії Тарковської, свояк і вихованець Івана Тобілевича (Карпенка-Карого).1933 – Едуард Вільде, естонський письменник і драматург1968 – Віджі Артур, американський фотожурналіст українського походження. Мав міжнародну популярність.1972 – Соня Грін, американська письменниця, видавець-аматор українського походження, дружина Говарда Лавкрафта.1977 – Говард Гоукс, американський кінорежисер, сценарист, продюсер. Володар премії «Оскар».1994 – Сільва Кошина, італійська акторка хорватського походження, модель.2000 – Джейсон Робардс, американський актор.2002 – Леонід Вишеславський, український поет, літературознавець, перекладач, педагог.2006 – Джеральд Р. Форд, 38 президент США2009 – Ів Роше, французький підприємець, засновник косметичної корпорації Yves Rocher Сьогодні іменини святкують:Володимир, Герман, Іван, Микола, Ян, Гавриїл, Олександр, Олексій, Аркадій, Яків, Еміль, Григорій, Омелян, Арсеній, Василь, Євген, Никодим, Орест, Елеонора, Анастасія, Люція. Прикмети 26 грудня:– Сороки сідають на сніг – до тепла.– Вовки виють під житлом – до морозу.– Сонце сідає в велику хмару – вночі можлива заметіль.– Яка погода стоїть сьогодні, таким і січень буде. Цитата дня:«Роби все, що можеш, там, де ти знаходишся, використовуючи все, що маєш» (Теодор Рузвельт). ","#день в історії,#прикмети,#хто народився,#іменинники,#цитата дня,#який сьогодні день,#дата,#26 грудня,",https://www.vikka.ua/novini/kultura/26-grudnya-istorichnij-dajdzhest-imeninniki-i-prikmeti/
